recipe_id,nutrition_id,value
137739,0,0.0
31490,8,17.0
112140,24,48.0
59389,1,2.0
44061,11,23.0
5289,1,3.0
25274,12,24.0
67888,49,275.0
70971,49,111.0
75452,49,107.0
109439,0,0.0
42198,5,10.0
67547,34,69.0
107517,4,9.0
39959,0,0.0
63986,13,26.0
43026,5,11.0
23933,2,4.0
8559,14,29.0
23850,0,1.0
76808,7,14.0
24701,27,54.0
83873,12,24.0
107699,33,66.0
49262,26,53.0
48156,0,1.0
54272,38,76.0
47366,21,42.0
37073,1,3.0
44123,9,19.0
27087,2,5.0
59952,33,67.0
93249,49,128.0
54100,5,10.0
67664,0,1.0
87098,9,18.0
25775,16,32.0
33165,6,13.0
38798,1,3.0
22123,29,58.0
90921,28,56.0
93959,4,9.0
93958,5,10.0
58224,3,7.0
33606,11,22.0
94710,11,23.0
35173,48,97.0
83025,49,135.0
52804,12,25.0
108414,15,31.0
26995,10,20.0
53402,28,57.0
59632,15,30.0
22526,17,34.0
100870,49,106.0
84797,37,74.0
35653,4,8.0
32169,9,18.0
24478,0,0.0
44045,3,7.0
60219,19,39.0
81185,9,19.0
30131,5,10.0
63593,0,0.0
43164,10,21.0
30300,0,0.0
78655,8,17.0
74805,0,1.0
71635,6,12.0
38276,10,21.0
97052,1,2.0
26835,7,15.0
32271,13,26.0
107229,10,20.0
5060,1,3.0
42570,13,26.0
52443,7,15.0
35595,0,0.0
108804,14,29.0
83950,35,71.0
19208,0,0.0
64302,5,11.0
35964,7,15.0
71457,5,10.0
95926,5,10.0
103948,8,17.0
99024,4,8.0
64045,49,116.0
41756,2,5.0
112959,0,0.0
83062,49,107.0
98930,1,3.0
83133,18,36.0
39947,0,1.0
44895,43,87.0
39363,4,9.0
62368,49,149.0
111875,1,2.0
42522,3,7.0
34930,9,19.0
63793,0,0.0
61973,5,10.0
45859,0,0.0
58651,0,1.0
59534,17,35.0
24137,2,4.0
40237,49,101.0
18537,1,3.0
104243,20,41.0
105069,13,26.0
70099,16,32.0
333281,1,3.0
234069,0,0.0
37841,18,36.0
144952,48,96.0
453467,11,22.0
31835,10,20.0
197013,23,46.0
306168,16,32.0
286009,6,13.0
24514,23,46.0
42508,41,83.0
116679,9,19.0
124286,49,260.0
190,20,41.0
475785,6,12.0
17265,6,13.0
50662,45,90.0
177187,1,3.0
118843,49,159.0
208179,3,7.0
500166,3,6.0
501028,24,48.0
136602,10,20.0
69190,26,53.0
503475,7,14.0
522861,49,103.0
457136,12,24.0
455351,8,16.0
333797,17,34.0
428056,12,25.0
306245,3,6.0
523359,15,31.0
495314,26,52.0
149593,4,8.0
227924,6,13.0
100540,13,26.0
155959,33,67.0
29214,11,22.0
92533,5,11.0
209203,37,74.0
42151,49,147.0
327356,0,0.0
325509,0,0.0
236184,21,43.0
241445,32,65.0
149887,5,10.0
112984,5,10.0
200148,2,4.0
445026,16,32.0
70611,1,3.0
273326,11,22.0
310570,20,40.0
318677,36,72.0
80050,3,6.0
269984,19,39.0
317508,8,16.0
53872,10,21.0
268942,22,44.0
176110,16,32.0
205331,45,90.0
165856,11,22.0
474769,6,13.0
138005,3,6.0
216945,49,124.0
164526,0,0.0
50184,3,7.0
316470,0,0.0
343338,0,0.0
137434,4,8.0
95534,10,21.0
30473,0,0.0
24470,9,19.0
311991,11,23.0
225707,10,20.0
242830,3,6.0
336744,15,30.0
83542,49,133.0
91626,15,31.0
303457,0,0.0
176717,3,7.0
39226,44,89.0
216030,7,15.0
268169,4,8.0
98357,45,90.0
150365,2,5.0
243251,4,8.0
20186,36,73.0
109818,10,21.0
243785,13,27.0
207525,15,30.0
226246,7,15.0
353044,0,1.0
263781,9,19.0
66932,1,2.0
48131,1,2.0
32363,8,17.0
293225,9,19.0
235173,0,0.0
226001,4,8.0
220186,11,22.0
217201,5,11.0
194665,17,34.0
269909,49,140.0
259693,19,39.0
161370,3,6.0
152261,0,0.0
152259,0,0.0
303460,13,27.0
270259,2,4.0
345123,11,22.0
125195,5,11.0
141939,7,15.0
171442,28,56.0
212188,18,36.0
262208,3,6.0
207857,0,0.0
221049,9,18.0
221116,5,11.0
130819,3,7.0
20223,3,6.0
190108,19,39.0
158372,2,4.0
219681,13,27.0
261215,8,16.0
179640,5,10.0
250883,1,2.0
140855,9,18.0
120297,7,14.0
130492,17,35.0
164634,7,15.0
293836,0,0.0
169586,19,38.0
261296,15,30.0
101115,27,55.0
271594,18,36.0
164291,8,17.0
251528,30,60.0
250833,7,15.0
343448,19,38.0
39893,9,19.0
147477,3,7.0
223349,5,11.0
86768,35,71.0
197001,1,2.0
60938,11,23.0
228491,15,30.0
451515,0,0.0
353171,13,27.0
354039,3,7.0
302399,6,13.0
195736,1,3.0
365946,8,17.0
221544,12,25.0
175306,0,0.0
211833,10,21.0
276567,3,7.0
232044,2,4.0
244840,17,35.0
342620,6,13.0
165270,25,50.0
9999,12,25.0
