recipe_id,nutrition_id,value
137739,2,13.0
31490,0,0.0
112140,6,32.0
59389,2,10.0
44061,67,337.0
5289,11,55.0
25274,1,7.0
67888,75,378.0
70971,99,1306.0
75452,99,976.0
109439,11,58.0
42198,39,199.0
67547,42,214.0
107517,40,202.0
39959,0,0.0
63986,0,0.0
43026,0,0.0
23933,15,77.0
8559,4,20.0
23850,4,24.0
76808,0,2.0
24701,2,13.0
83873,0,2.0
107699,33,168.0
49262,0,4.0
48156,0,4.0
54272,11,56.0
47366,3,18.0
37073,0,4.0
44123,5,26.0
27087,13,67.0
59952,6,34.0
93249,0,4.0
54100,2,10.0
67664,1,5.0
87098,11,55.0
25775,1,6.0
33165,4,20.0
38798,0,2.0
22123,11,57.0
90921,21,107.0
93959,12,61.0
93958,5,28.0
58224,0,4.0
33606,2,12.0
94710,0,1.0
35173,2,11.0
83025,99,1196.0
52804,34,170.0
108414,8,43.0
26995,59,297.0
53402,4,21.0
59632,1,9.0
22526,23,116.0
100870,39,195.0
84797,64,323.0
35653,3,15.0
32169,7,39.0
24478,0,0.0
44045,0,2.0
60219,2,11.0
81185,4,21.0
30131,1,6.0
63593,1,5.0
43164,2,10.0
30300,0,1.0
78655,1,6.0
74805,0,2.0
71635,19,98.0
38276,4,24.0
97052,5,29.0
26835,32,164.0
32271,82,410.0
107229,2,13.0
5060,5,29.0
42570,0,0.0
52443,1,9.0
35595,2,11.0
108804,1,8.0
83950,2,11.0
19208,18,91.0
64302,22,113.0
35964,72,362.0
71457,12,64.0
95926,13,66.0
103948,3,16.0
99024,0,0.0
64045,20,104.0
41756,9,45.0
112959,0,0.0
83062,99,984.0
98930,0,3.0
83133,23,119.0
39947,26,133.0
44895,99,1941.0
39363,13,65.0
62368,99,1772.0
111875,18,94.0
42522,0,0.0
34930,3,16.0
63793,3,15.0
61973,11,58.0
45859,12,61.0
58651,10,51.0
59534,8,41.0
24137,1,6.0
40237,99,802.0
18537,14,70.0
104243,3,17.0
105069,2,11.0
70099,4,21.0
333281,10,50.0
234069,17,89.0
37841,0,4.0
144952,14,70.0
453467,42,211.0
31835,2,11.0
197013,6,30.0
306168,1,6.0
286009,65,326.0
24514,4,20.0
42508,11,55.0
116679,2,11.0
124286,99,1306.0
190,11,55.0
475785,2,12.0
17265,21,109.0
50662,4,20.0
177187,9,47.0
118843,99,1630.0
208179,20,100.0
500166,0,4.0
501028,5,26.0
136602,20,100.0
69190,4,23.0
503475,12,62.0
522861,4,21.0
457136,3,19.0
455351,2,12.0
333797,0,0.0
428056,2,12.0
306245,0,2.0
523359,3,18.0
495314,41,209.0
149593,8,44.0
227924,31,158.0
100540,2,14.0
155959,3,18.0
29214,5,29.0
92533,1,5.0
209203,31,155.0
42151,18,91.0
327356,0,2.0
325509,0,2.0
236184,8,43.0
241445,8,40.0
149887,21,105.0
112984,4,23.0
200148,13,66.0
445026,1,7.0
70611,0,0.0
273326,5,26.0
310570,2,11.0
318677,7,38.0
80050,49,246.0
269984,5,25.0
317508,1,5.0
53872,2,13.0
268942,6,30.0
176110,35,175.0
205331,7,35.0
165856,1,9.0
474769,1,7.0
138005,0,0.0
216945,3,18.0
164526,7,35.0
50184,4,23.0
316470,43,216.0
343338,2,10.0
137434,3,15.0
95534,0,3.0
30473,2,11.0
24470,1,6.0
311991,9,47.0
225707,23,118.0
242830,1,6.0
336744,1,6.0
83542,99,775.0
91626,11,56.0
303457,0,4.0
176717,41,205.0
39226,7,37.0
216030,40,203.0
268169,0,3.0
98357,4,23.0
150365,2,12.0
243251,2,14.0
20186,5,27.0
109818,7,38.0
243785,1,9.0
207525,2,14.0
226246,28,141.0
353044,12,64.0
263781,2,12.0
66932,2,13.0
48131,0,3.0
32363,1,6.0
293225,41,205.0
235173,0,4.0
226001,11,57.0
220186,7,39.0
217201,0,1.0
194665,3,19.0
269909,99,1228.0
259693,0,2.0
161370,3,15.0
152261,54,273.0
152259,11,57.0
303460,3,19.0
270259,15,75.0
345123,10,54.0
125195,5,25.0
141939,2,14.0
171442,16,83.0
212188,8,43.0
262208,0,4.0
207857,7,38.0
221049,1,8.0
221116,15,79.0
130819,30,154.0
20223,0,1.0
190108,6,33.0
158372,0,1.0
219681,2,13.0
261215,24,120.0
179640,22,112.0
250883,3,15.0
140855,2,12.0
120297,3,16.0
130492,16,82.0
164634,12,62.0
293836,0,1.0
169586,4,21.0
261296,5,26.0
101115,3,16.0
271594,1,8.0
164291,1,9.0
251528,15,76.0
250833,17,89.0
343448,0,0.0
39893,2,11.0
147477,0,1.0
223349,5,25.0
86768,99,1181.0
197001,30,150.0
60938,1,9.0
228491,3,15.0
451515,0,0.0
353171,80,402.0
354039,21,108.0
302399,1,8.0
195736,0,1.0
365946,26,134.0
221544,21,106.0
175306,9,46.0
211833,7,36.0
276567,2,14.0
232044,20,104.0
244840,9,48.0
342620,5,28.0
165270,6,30.0
9999,4,24.0
423875,14,70.0
275675,5,27.0
356803,8,40.0
296983,1,7.0
111462,2,12.0
242831,2,11.0
151143,7,37.0
185799,3,16.0
166089,2,14.0
310082,1,9.0
70005,0,0.0
