recipe_id,nutrition_id,value
137739,0,0.0
31490,1,18.0
112140,2,22.0
59389,1,17.0
44061,0,1.0
5289,1,10.0
25274,5,53.0
67888,8,83.0
70971,25,254.0
75452,16,160.0
109439,0,3.0
42198,6,66.0
67547,2,28.0
107517,0,0.0
39959,0,0.0
63986,0,8.0
43026,1,10.0
23933,2,21.0
8559,3,31.0
23850,0,4.0
76808,1,11.0
24701,0,3.0
83873,1,11.0
107699,22,221.0
49262,21,213.0
48156,1,11.0
54272,0,3.0
47366,2,24.0
37073,0,8.0
44123,10,108.0
27087,1,13.0
59952,4,40.0
93249,9,91.0
54100,1,10.0
67664,0,3.0
87098,0,3.0
25775,1,16.0
33165,0,2.0
38798,0,5.0
22123,5,57.0
90921,4,46.0
93959,0,8.0
93958,0,9.0
58224,2,22.0
33606,1,14.0
94710,1,12.0
35173,10,100.0
83025,51,516.0
52804,4,49.0
108414,3,32.0
26995,3,38.0
53402,3,38.0
59632,10,109.0
22526,1,18.0
100870,7,75.0
84797,15,154.0
35653,1,11.0
32169,1,18.0
24478,0,0.0
44045,0,7.0
60219,1,10.0
81185,0,7.0
30131,3,31.0
63593,0,1.0
43164,5,50.0
30300,0,0.0
78655,2,26.0
74805,4,45.0
71635,3,39.0
38276,3,36.0
97052,5,58.0
26835,3,32.0
32271,12,129.0
107229,3,34.0
5060,2,22.0
42570,2,24.0
52443,1,12.0
35595,0,0.0
108804,1,14.0
83950,9,97.0
19208,0,0.0
64302,4,43.0
35964,1,13.0
71457,1,13.0
95926,0,3.0
103948,5,53.0
99024,1,14.0
64045,5,55.0
41756,0,6.0
112959,0,1.0
83062,23,235.0
98930,1,12.0
83133,0,7.0
39947,0,0.0
44895,47,470.0
39363,0,9.0
62368,65,653.0
111875,2,29.0
42522,2,26.0
34930,5,50.0
63793,0,1.0
61973,0,8.0
45859,0,0.0
58651,1,16.0
59534,6,61.0
24137,2,24.0
40237,13,130.0
18537,3,30.0
104243,6,66.0
105069,1,19.0
70099,0,7.0
333281,1,10.0
234069,0,0.0
37841,4,41.0
144952,6,63.0
453467,4,46.0
31835,1,17.0
197013,1,14.0
306168,2,20.0
286009,6,63.0
24514,2,25.0
42508,9,93.0
116679,2,25.0
124286,24,245.0
190,2,25.0
475785,3,30.0
17265,2,27.0
50662,32,325.0
177187,1,12.0
118843,42,427.0
208179,3,37.0
500166,2,26.0
501028,1,19.0
136602,3,32.0
69190,2,21.0
503475,3,30.0
522861,7,72.0
457136,5,52.0
455351,3,33.0
333797,1,11.0
428056,0,0.0
306245,0,5.0
523359,2,23.0
495314,0,0.0
149593,1,18.0
227924,3,37.0
100540,0,9.0
155959,6,61.0
29214,0,7.0
92533,5,57.0
209203,12,126.0
42151,7,76.0
327356,0,0.0
325509,0,8.0
236184,4,45.0
241445,4,40.0
149887,2,23.0
112984,0,2.0
200148,2,24.0
445026,4,42.0
70611,2,27.0
273326,9,98.0
310570,2,29.0
318677,1,13.0
80050,1,12.0
269984,3,34.0
317508,2,22.0
53872,2,25.0
268942,2,20.0
176110,4,46.0
205331,3,30.0
165856,6,67.0
474769,2,23.0
138005,1,15.0
216945,1,17.0
164526,0,0.0
50184,5,59.0
316470,0,1.0
343338,0,3.0
137434,0,4.0
95534,6,60.0
30473,0,0.0
24470,1,19.0
311991,1,17.0
225707,9,96.0
242830,2,27.0
336744,2,29.0
83542,19,199.0
91626,4,49.0
303457,1,15.0
176717,1,15.0
39226,0,1.0
216030,4,47.0
268169,4,40.0
98357,9,98.0
150365,1,15.0
243251,1,15.0
20186,1,17.0
109818,1,16.0
243785,2,28.0
207525,4,41.0
226246,2,20.0
353044,2,20.0
263781,2,24.0
66932,1,19.0
48131,0,0.0
32363,1,14.0
293225,13,137.0
235173,0,5.0
226001,1,17.0
220186,2,20.0
217201,1,19.0
194665,2,22.0
269909,25,252.0
259693,3,30.0
161370,1,15.0
152261,0,0.0
152259,0,0.0
303460,1,16.0
270259,1,14.0
345123,3,39.0
125195,1,13.0
141939,1,17.0
171442,16,165.0
212188,0,8.0
262208,2,27.0
207857,0,0.0
221049,0,9.0
221116,7,78.0
130819,1,19.0
20223,0,2.0
190108,1,19.0
158372,1,12.0
219681,5,53.0
261215,2,29.0
179640,0,8.0
250883,1,11.0
140855,5,57.0
120297,1,11.0
130492,3,33.0
164634,0,3.0
293836,0,3.0
169586,1,18.0
261296,0,1.0
101115,6,68.0
271594,0,3.0
164291,2,20.0
251528,4,48.0
250833,3,32.0
343448,0,0.0
39893,2,24.0
147477,1,12.0
223349,1,16.0
86768,49,491.0
197001,1,18.0
60938,4,45.0
228491,2,21.0
451515,1,12.0
353171,8,88.0
354039,0,5.0
302399,1,10.0
195736,0,5.0
365946,6,69.0
221544,0,8.0
175306,0,0.0
211833,2,23.0
276567,0,5.0
232044,0,0.0
244840,1,18.0
342620,4,41.0
165270,7,74.0
9999,0,3.0
423875,0,0.0
275675,5,50.0
356803,4,43.0
296983,1,10.0
111462,0,8.0
242831,3,36.0
151143,1,19.0
185799,8,80.0
166089,3,33.0
310082,1,18.0
70005,0,0.0
129581,5,58.0
116741,0,0.0
143750,1,14.0
257409,1,14.0
154426,22,229.0
255916,0,7.0
325714,8,83.0
163238,4,49.0
274988,0,0.0
347252,1,16.0
47037,5,50.0
130815,2,24.0
251021,0,0.0
25538,0,0.0
276594,3,31.0
54837,13,139.0
32378,1,10.0
259784,3,38.0
16391,0,1.0
196264,0,5.0
251032,0,8.0
429524,0,0.0
146,3,38.0
315537,4,48.0
487173,3,34.0
341118,1,15.0
77206,4,43.0
157487,6,61.0
289671,1,19.0
356884,1,12.0
168590,38,383.0
44050,17,178.0
166328,61,618.0
242,0,9.0
124853,0,0.0
160077,4,49.0
161843,1,17.0
447429,9,99.0
202009,10,105.0
372665,0,5.0
55681,0,1.0
230240,0,0.0
137701,7,79.0
467795,0,1.0
289133,3,32.0
28951,0,1.0
513531,1,13.0
511799,0,0.0
292568,0,5.0
435497,3,34.0
392158,1,13.0
167554,0,4.0
505132,1,11.0
399278,2,29.0
535020,34,345.0
165110,1,13.0
27200,7,71.0
262576,0,4.0
357497,1,13.0
201697,0,6.0
363009,1,10.0
113150,4,47.0
81635,0,4.0
279052,1,16.0
240622,2,28.0
142984,6,63.0
299989,6,61.0
165385,1,17.0
285606,0,0.0
204270,1,12.0
117116,0,9.0
138275,3,35.0
168644,0,6.0
20085,1,16.0
243157,2,25.0
160170,3,35.0
441744,1,12.0
271113,0,7.0
16327,0,4.0
182122,0,7.0
369169,1,12.0
331715,0,1.0
249050,0,1.0
151746,7,74.0
297594,1,11.0
63346,4,40.0
519068,2,29.0
263831,0,5.0
419921,0,4.0
368320,5,54.0
392150,0,0.0
342619,0,0.0
408907,5,51.0
371961,1,11.0
188151,0,8.0
383120,0,4.0
248125,4,48.0
128715,2,23.0
495344,1,14.0
300339,1,13.0
460846,1,12.0
367987,2,27.0
280918,3,39.0
243409,3,39.0
243249,3,32.0
173113,0,7.0
463219,3,39.0
360086,65,652.0
457965,0,5.0
72449,4,44.0
193430,4,44.0
39172,1,11.0
303070,1,14.0
216068,7,75.0
384510,0,4.0
367865,1,15.0
391390,1,12.0
141937,1,17.0
53197,0,9.0
400273,0,3.0
535431,9,93.0
480776,0,4.0
305431,5,59.0
443640,2,29.0
406331,0,6.0
441118,3,31.0
142369,0,9.0
145858,7,72.0
173730,0,0.0
170199,1,12.0
239866,6,65.0
46189,4,41.0
314384,4,49.0
136231,0,0.0
174536,2,24.0
341816,1,13.0
59515,0,7.0
320708,0,1.0
211091,1,16.0
286851,3,37.0
248212,0,0.0
280644,0,0.0
176883,7,76.0
298908,0,5.0
102035,5,50.0
430445,6,60.0
239871,9,92.0
328250,2,27.0
146686,2,29.0
138477,3,39.0
287778,3,30.0
204122,48,485.0
437637,2,26.0
123115,3,39.0
152844,6,64.0
132195,4,48.0
248962,1,14.0
384264,6,69.0
199545,3,35.0
422291,2,25.0
427531,0,8.0
389642,2,24.0
287235,0,8.0
110085,0,9.0
371549,1,18.0
444320,8,89.0
284465,22,222.0
376813,0,5.0
51506,0,2.0
134015,2,20.0
202195,3,32.0
407516,0,4.0
92113,2,26.0
354047,0,8.0
230565,8,89.0
134085,4,49.0
38811,2,29.0
185520,10,104.0
390230,0,7.0
401605,4,41.0
356849,40,404.0
393988,2,26.0
360444,10,105.0
192390,2,25.0
446452,0,8.0
454621,5,53.0
440388,3,36.0
246224,1,11.0
484992,2,27.0
276865,2,20.0
172744,7,75.0
147212,4,49.0
214193,1,18.0
361927,8,81.0
450466,4,42.0
439143,2,26.0
298874,1,15.0
140196,2,24.0
196006,2,21.0
409229,1,15.0
174469,0,8.0
296051,1,15.0
256763,7,76.0
306590,2,22.0
52289,0,1.0
433071,1,15.0
218648,0,8.0
146447,4,42.0
256734,1,14.0
212028,1,13.0
408303,0,3.0
25512,1,12.0
363904,1,15.0
481157,3,39.0
18719,3,31.0
335539,2,27.0
303944,5,50.0
443720,8,85.0
407098,5,53.0
285568,3,32.0
432027,4,48.0
207743,0,5.0
299968,0,1.0
464946,0,9.0
130642,1,19.0
395202,3,30.0
335495,0,0.0
192542,2,29.0
315110,2,27.0
368878,4,48.0
147563,4,46.0
207466,0,4.0
193719,1,16.0
251976,1,15.0
334501,1,19.0
123117,31,313.0
38852,3,31.0
181808,0,2.0
291073,1,14.0
186143,0,0.0
250232,0,5.0
411859,0,2.0
382731,2,24.0
134787,0,6.0
154576,0,5.0
222030,20,200.0
52565,3,34.0
103393,1,12.0
358626,1,18.0
53152,2,21.0
211322,1,10.0
251714,1,18.0
343821,2,28.0
168420,0,0.0
402351,3,38.0
319381,0,5.0
489707,1,10.0
389301,2,20.0
29916,1,14.0
36482,0,4.0
98844,4,41.0
65207,1,12.0
496766,5,56.0
140746,16,164.0
302344,25,255.0
56036,4,48.0
74284,1,13.0
361017,0,9.0
437219,2,21.0
467076,4,42.0
327141,4,44.0
342698,2,28.0
304814,4,42.0
387488,4,41.0
81280,1,16.0
261482,0,6.0
77380,24,243.0
240369,0,4.0
340730,0,2.0
334951,2,26.0
305987,1,19.0
337893,0,2.0
157160,1,16.0
35632,4,41.0
141712,3,36.0
21357,6,69.0
205443,1,11.0
201813,0,0.0
198343,1,17.0
279176,0,4.0
532472,8,82.0
32204,3,30.0
378540,0,0.0
293049,2,24.0
104773,0,2.0
129919,6,69.0
391335,2,29.0
383339,4,46.0
96727,13,136.0
474258,4,41.0
209322,0,6.0
60454,5,58.0
240447,0,0.0
375376,6,60.0
160398,6,66.0
350400,0,8.0
280251,0,0.0
242761,0,0.0
11878,2,20.0
385823,0,0.0
22711,11,110.0
98821,2,21.0
152534,12,121.0
423516,0,6.0
418756,1,19.0
481195,0,5.0
53312,1,15.0
51922,6,64.0
11363,1,17.0
63131,1,12.0
108819,1,10.0
344420,2,29.0
292317,0,9.0
79313,5,52.0
282644,4,45.0
19953,1,13.0
97808,10,109.0
16451,0,1.0
84610,2,26.0
116449,0,6.0
24760,0,7.0
261888,0,0.0
133328,1,12.0
196614,3,38.0
238453,2,24.0
23078,10,104.0
67142,16,162.0
484624,5,55.0
97968,1,18.0
87640,2,28.0
413910,0,4.0
154187,0,8.0
327979,0,0.0
196319,5,56.0
184785,2,27.0
15255,2,20.0
344648,10,100.0
438092,0,0.0
265262,1,11.0
247277,2,21.0
190891,0,7.0
449891,0,8.0
163005,2,29.0
473002,4,44.0
32088,0,1.0
286681,1,10.0
361328,1,11.0
376660,1,18.0
285666,0,4.0
159527,2,25.0
220237,0,3.0
375362,1,13.0
75408,0,0.0
196548,4,42.0
399709,2,21.0
217296,0,7.0
55809,1,10.0
198660,2,28.0
121107,0,6.0
98478,6,66.0
420409,1,18.0
393667,1,12.0
106902,0,0.0
435816,6,67.0
134086,0,4.0
246617,1,14.0
221942,0,7.0
21816,1,13.0
198073,1,12.0
169105,1,11.0
258868,0,0.0
15063,1,10.0
202949,1,16.0
454944,0,7.0
497150,1,12.0
202840,2,25.0
392350,0,0.0
