id,lower_bound,upper_bound
0,0,2
1,2,4
2,4,6
3,6,8
4,8,10
5,10,12
6,12,14
7,14,16
8,16,18
9,18,20
10,20,22
11,22,24
12,24,26
13,26,28
14,28,30
15,30,32
16,32,34
17,34,36
18,36,38
19,38,40
20,40,42
21,42,44
22,44,46
151,302,304
24,48,50
25,50,52
26,52,54
28,56,58
29,58,60
31,62,64
32,64,66
33,66,68
35,70,72
36,72,74
37,74,76
549,1098,1100
39,78,80
40,80,82
44,88,90
46,92,94
49,98,100
51,102,104
52,104,106
54,108,110
56,112,114
58,116,118
59,118,120
61,122,124
66,132,134
69,138,140
72,144,146
73,146,148
77,154,156
82,164,166
94,188,190
97,194,196
102,204,206
108,216,218
110,220,222
112,224,226
113,226,228
122,244,246
125,250,252
