id,lower_bound,upper_bound
0,0,2
1,2,4
2,4,6
3,6,8
4,8,10
5,10,12
6,12,14
7,14,16
8,16,18
9,18,20
10,20,22
11,22,24
12,24,26
13,26,28
14,28,30
15,30,32
16,32,34
17,34,36
18,36,38
19,38,40
20,40,42
21,42,44
22,44,46
23,46,48
24,48,50
25,50,52
26,52,54
27,54,56
28,56,58
29,58,60
30,60,62
31,62,64
32,64,66
33,66,68
34,68,70
35,70,72
36,72,74
37,74,76
38,76,78
39,78,80
40,80,82
41,82,84
42,84,86
43,86,88
44,88,90
45,90,92
46,92,94
47,94,96
48,96,98
49,98,100
50,100,102
51,102,104
52,104,106
53,106,108
54,108,110
56,112,114
58,116,118
59,118,120
60,120,122
61,122,124
62,124,126
63,126,128
64,128,130
66,132,134
67,134,136
68,136,138
69,138,140
70,140,142
71,142,144
72,144,146
74,148,150
75,150,152
76,152,154
77,154,156
78,156,158
79,158,160
80,160,162
81,162,164
82,164,166
594,1188,1190
84,168,170
85,170,172
83,166,168
87,174,176
90,180,182
93,186,188
96,192,194
609,1218,1220
99,198,200
102,204,206
103,206,208
105,210,212
107,214,216
111,222,224
116,232,234
118,236,238
126,252,254
130,260,262
138,276,278
145,290,292
155,310,312
160,320,322
184,368,370
191,382,384
203,406,408
208,416,418
213,426,428
215,430,432
217,434,436
218,436,438
221,442,444
237,474,476
262,524,526
284,568,570
307,614,616
311,622,624
328,656,658
500,1000,1002
