id,lower_bound,upper_bound
0,0,5.0
1,5,10.0
2,10,15.0
3,15,20.0
4,20,25.0
5,25,30.0
6,30,35.0
7,35,40.0
8,40,45.0
9,45,50.0
10,50,55.0
11,55,60.0
12,60,65.0
13,65,70.0
14,70,75.0
15,75,80.0
16,80,85.0
17,85,90.0
18,90,95.0
19,95,100.0
20,100,105.0
21,105,110.0
22,110,115.0
23,115,120.0
24,120,125.0
25,125,130.0
26,130,135.0
27,135,140.0
28,140,145.0
29,145,150.0
30,150,155.0
31,155,160.0
32,160,165.0
33,165,170.0
34,170,175.0
35,175,180.0
36,180,185.0
37,185,190.0
38,190,195.0
39,195,200.0
40,200,205.0
41,205,210.0
42,210,215.0
43,215,220.0
45,225,230.0
46,230,235.0
47,235,240.0
49,245,250.0
51,255,260.0
52,260,265.0
54,270,275.0
56,280,285.0
57,285,290.0
59,295,300.0
60,300,305.0
61,305,310.0
62,310,315.0
64,320,325.0
65,325,330.0
66,330,335.0
67,335,340.0
69,345,350.0
72,360,365.0
73,365,370.0
75,375,380.0
79,395,400.0
80,400,405.0
82,410,415.0
84,420,425.0
88,440,445.0
92,460,465.0
94,470,475.0
98,490,495.0
99,495,
