recipe_id,nutrition_id,value
137739,5,51.5
31490,17,173.4
112140,26,269.8
59389,36,368.1
44061,35,352.9
5289,16,160.2
25274,38,380.7
67888,110,1109.5
70971,199,4270.8
75452,199,2669.3
109439,7,79.2
42198,73,734.1
67547,46,462.4
107517,31,315.8
39959,0,8.2
63986,10,105.7
43026,9,94.0
23933,23,232.7
8559,39,395.4
23850,17,174.2
76808,12,126.0
24701,6,64.8
83873,33,335.8
107699,166,1663.3
49262,129,1290.4
48156,18,182.7
54272,29,295.6
47366,34,346.9
37073,13,132.6
44123,80,804.7
27087,17,174.4
59952,45,456.8
93249,164,1649.8
54100,19,190.9
67664,16,164.6
87098,27,276.2
25775,16,166.1
33165,15,152.5
38798,5,53.8
22123,64,647.6
90921,78,783.4
93959,17,172.8
93958,17,171.8
58224,22,223.2
33606,27,279.2
94710,24,241.0
35173,81,816.9
83025,199,5467.4
52804,61,612.1
108414,40,400.2
26995,72,724.4
53402,37,370.5
59632,79,794.2
22526,57,575.3
100870,98,987.8
84797,161,1615.2
35653,17,175.2
32169,25,255.2
24478,0,3.1
44045,6,67.1
60219,32,325.3
81185,11,115.9
30131,19,199.2
63593,2,22.9
43164,51,510.6
30300,0,3.0
78655,18,181.1
74805,27,276.3
71635,38,387.6
38276,47,477.1
97052,51,517.2
26835,45,456.6
32271,138,1389.5
107229,61,617.5
5060,18,180.7
42570,21,213.6
52443,18,183.3
35595,3,33.1
108804,22,227.2
83950,126,1260.7
19208,11,110.1
64302,57,572.6
35964,58,580.0
71457,25,253.0
95926,23,238.0
103948,69,692.2
99024,13,132.4
64045,64,649.6
41756,11,114.6
112959,1,12.8
83062,199,3043.4
98930,19,190.5
83133,17,179.3
39947,14,140.4
44895,199,5728.3
39363,17,175.7
62368,199,6007.2
111875,35,354.2
42522,18,184.8
34930,44,449.2
63793,7,73.1
61973,15,159.0
45859,7,72.0
58651,17,172.4
59534,65,650.0
24137,45,458.1
40237,199,2252.6
18537,37,373.9
104243,50,501.0
105069,17,176.6
70099,23,231.1
333281,13,138.4
234069,8,89.6
37841,26,264.7
144952,126,1268.7
453467,59,595.1
31835,15,157.7
197013,16,165.7
306168,19,194.8
286009,87,878.3
24514,42,422.5
42508,96,969.6
116679,21,212.0
124286,199,3987.2
190,55,558.1
475785,26,267.0
17265,35,350.0
50662,199,2450.5
177187,15,150.4
118843,199,5286.9
208179,33,339.0
500166,24,249.4
501028,27,270.2
136602,38,388.7
69190,34,346.7
503475,35,358.2
522861,100,1003.8
457136,70,708.6
455351,65,651.8
333797,16,160.4
428056,3,33.2
306245,6,61.8
523359,25,259.7
495314,23,233.5
149593,20,209.3
227924,45,455.3
100540,19,195.3
155959,67,673.5
29214,15,153.4
92533,39,397.7
209203,106,1063.2
42151,70,707.1
327356,4,47.2
325509,19,190.9
236184,68,682.6
241445,60,607.1
149887,36,365.4
112984,7,75.2
200148,25,252.6
445026,48,484.1
70611,26,261.7
273326,159,1594.9
310570,42,428.1
318677,45,455.7
80050,44,442.5
269984,36,361.1
317508,21,212.9
53872,30,308.8
268942,38,383.1
176110,44,447.0
205331,33,338.9
165856,59,597.1
474769,32,325.2
138005,19,196.4
216945,40,402.9
164526,8,89.3
50184,47,473.2
316470,24,248.7
343338,18,183.0
137434,19,198.2
95534,65,657.6
30473,1,13.7
24470,15,157.7
311991,25,257.4
225707,74,742.5
242830,30,300.5
336744,30,308.0
83542,199,2488.6
91626,76,761.1
303457,10,104.8
176717,32,328.4
39226,8,80.5
216030,63,636.8
268169,49,498.9
98357,103,1036.0
150365,16,161.1
243251,15,154.0
20186,32,328.3
109818,17,173.5
243785,31,310.7
207525,37,375.4
226246,33,339.6
353044,20,209.5
263781,20,205.7
66932,37,372.6
48131,3,36.3
32363,19,191.9
293225,118,1187.4
235173,16,165.3
226001,19,198.6
220186,33,333.4
217201,79,792.5
194665,28,280.0
269909,199,3557.7
259693,63,631.2
161370,22,226.6
152261,28,286.6
