recipe_id,nutrition_id,value
137739,2,4.0
31490,0,1.0
112140,2,5.0
59389,10,20.0
44061,14,28.0
5289,3,7.0
25274,3,6.0
67888,18,36.0
70971,110,220.0
75452,69,138.0
109439,2,5.0
42198,14,28.0
67547,11,23.0
107517,10,21.0
39959,0,0.0
63986,1,3.0
43026,0,0.0
23933,4,8.0
8559,4,8.0
23850,5,10.0
76808,2,4.0
24701,1,3.0
83873,5,10.0
107699,14,29.0
49262,0,1.0
48156,5,10.0
54272,9,18.0
47366,5,10.0
37073,3,6.0
44123,5,10.0
27087,3,7.0
59952,4,9.0
93249,39,78.0
54100,1,2.0
67664,5,11.0
87098,10,20.0
25775,1,3.0
33165,5,10.0
38798,0,1.0
22123,8,16.0
90921,18,37.0
93959,4,9.0
93958,4,8.0
58224,0,0.0
33606,6,12.0
94710,6,12.0
35173,1,2.0
83025,94,188.0
52804,12,25.0
108414,7,14.0
26995,19,39.0
53402,1,3.0
59632,1,3.0
22526,17,34.0
100870,14,28.0
84797,15,30.0
35653,3,7.0
32169,3,6.0
24478,0,0.0
44045,0,1.0
60219,8,17.0
81185,2,5.0
30131,0,1.0
63593,0,0.0
43164,0,1.0
30300,0,0.0
78655,1,2.0
74805,0,0.0
71635,5,11.0
38276,9,18.0
97052,7,14.0
26835,10,20.0
32271,25,51.0
107229,12,24.0
5060,1,3.0
42570,0,0.0
52443,3,6.0
35595,1,2.0
108804,2,4.0
83950,19,38.0
19208,4,9.0
64302,12,24.0
35964,20,40.0
71457,6,13.0
95926,8,17.0
103948,6,12.0
99024,0,0.0
64045,9,19.0
41756,2,4.0
112959,0,0.0
83062,66,132.0
98930,0,0.0
83133,5,11.0
39947,5,11.0
44895,113,226.0
39363,4,9.0
62368,77,155.0
111875,6,12.0
42522,0,0.0
34930,1,2.0
63793,2,4.0
61973,4,8.0
45859,3,6.0
58651,3,6.0
59534,5,11.0
24137,8,16.0
40237,58,117.0
18537,5,10.0
104243,1,2.0
105069,1,3.0
70099,7,14.0
333281,3,6.0
234069,3,7.0
37841,0,1.0
144952,28,57.0
453467,13,26.0
31835,1,2.0
197013,2,4.0
306168,1,3.0
286009,19,39.0
24514,9,19.0
42508,3,7.0
116679,2,4.0
124286,102,205.0
190,6,12.0
475785,1,2.0
17265,6,13.0
50662,16,32.0
177187,3,6.0
118843,112,224.0
208179,5,10.0
500166,0,0.0
501028,2,4.0
136602,7,15.0
69190,8,16.0
503475,6,12.0
522861,18,37.0
457136,12,25.0
455351,16,33.0
333797,0,0.0
428056,1,2.0
306245,0,1.0
523359,2,4.0
495314,9,19.0
149593,3,7.0
227924,9,19.0
100540,4,8.0
155959,1,2.0
29214,2,4.0
92533,1,2.0
209203,10,21.0
42151,4,9.0
327356,0,0.0
325509,4,9.0
236184,13,26.0
241445,11,23.0
149887,8,17.0
112984,2,4.0
200148,3,7.0
445026,3,6.0
70611,0,0.0
273326,29,58.0
310570,7,14.0
318677,13,26.0
80050,14,29.0
269984,2,5.0
317508,2,4.0
53872,1,2.0
268942,7,14.0
176110,7,15.0
205331,3,7.0
165856,4,8.0
474769,5,10.0
138005,1,3.0
216945,9,18.0
164526,3,7.0
50184,4,8.0
316470,10,21.0
343338,5,11.0
137434,1,3.0
95534,0,1.0
30473,0,1.0
24470,0,0.0
311991,2,4.0
225707,7,15.0
242830,0,1.0
336744,2,5.0
83542,54,109.0
91626,4,8.0
303457,0,1.0
176717,9,19.0
39226,2,5.0
216030,14,28.0
268169,0,0.0
98357,13,27.0
150365,2,4.0
243251,2,4.0
20186,5,10.0
109818,2,5.0
243785,1,3.0
207525,0,1.0
226246,8,17.0
353044,3,7.0
263781,2,4.0
66932,9,18.0
