recipe_id,nutrition_id,value
137739,1,2.0
31490,11,22.0
112140,19,39.0
59389,7,14.0
44061,1,3.0
5289,4,9.0
25274,3,6.0
67888,48,96.0
70971,49,127.0
75452,31,62.0
109439,0,0.0
42198,5,10.0
67547,7,14.0
107517,3,6.0
39959,0,1.0
63986,2,5.0
43026,5,11.0
23933,3,6.0
8559,25,51.0
23850,7,15.0
76808,2,5.0
24701,2,4.0
83873,32,64.0
107699,9,19.0
49262,11,22.0
48156,6,13.0
54272,16,32.0
47366,21,42.0
37073,2,4.0
44123,14,28.0
27087,2,4.0
59952,28,57.0
93249,40,80.0
54100,22,45.0
67664,2,4.0
87098,11,23.0
25775,9,19.0
33165,3,7.0
38798,1,3.0
22123,27,54.0
90921,18,36.0
93959,3,7.0
93958,4,8.0
58224,17,35.0
33606,11,23.0
94710,5,10.0
35173,49,98.0
83025,49,110.0
52804,7,15.0
108414,10,21.0
26995,9,18.0
53402,26,53.0
59632,29,59.0
22526,14,28.0
100870,49,104.0
84797,49,182.0
35653,3,7.0
32169,19,39.0
24478,0,0.0
44045,1,3.0
60219,13,26.0
81185,4,9.0
30131,0,1.0
63593,0,1.0
43164,45,90.0
30300,0,0.0
78655,1,2.0
74805,1,3.0
71635,6,12.0
38276,13,26.0
97052,8,17.0
26835,5,11.0
32271,21,42.0
107229,28,56.0
5060,3,6.0
42570,15,31.0
52443,10,21.0
35595,1,2.0
108804,20,40.0
83950,49,103.0
19208,0,1.0
64302,8,17.0
35964,5,11.0
71457,5,11.0
95926,5,10.0
103948,49,102.0
99024,10,21.0
64045,36,72.0
41756,5,10.0
112959,0,0.0
83062,39,79.0
98930,26,53.0
83133,1,3.0
39947,2,4.0
44895,49,140.0
39363,2,5.0
62368,49,228.0
111875,13,26.0
42522,6,13.0
34930,29,58.0
63793,2,5.0
61973,3,7.0
45859,0,0.0
58651,1,2.0
59534,40,81.0
24137,25,50.0
40237,22,44.0
18537,18,36.0
104243,21,42.0
105069,6,12.0
70099,4,8.0
333281,1,3.0
234069,0,0.0
37841,1,3.0
144952,49,103.0
453467,6,13.0
31835,5,11.0
197013,7,15.0
306168,11,22.0
286009,10,20.0
24514,17,34.0
42508,49,148.0
116679,5,11.0
124286,49,106.0
190,49,111.0
475785,14,29.0
17265,6,12.0
50662,37,75.0
177187,2,4.0
118843,49,163.0
208179,1,3.0
500166,19,39.0
501028,26,52.0
136602,5,11.0
69190,8,17.0
503475,9,19.0
522861,34,69.0
457136,23,46.0
455351,16,32.0
333797,22,44.0
428056,0,1.0
306245,4,9.0
523359,17,34.0
495314,1,2.0
149593,2,5.0
227924,5,11.0
100540,7,15.0
155959,49,133.0
29214,8,17.0
92533,10,21.0
209203,17,34.0
42151,37,74.0
327356,0,0.0
325509,6,13.0
236184,23,47.0
241445,22,45.0
149887,5,10.0
112984,3,7.0
200148,4,8.0
445026,37,75.0
70611,22,45.0
273326,49,149.0
310570,18,37.0
318677,17,34.0
80050,6,12.0
269984,22,45.0
317508,7,15.0
53872,29,59.0
268942,21,43.0
176110,0,1.0
205331,21,43.0
165856,24,49.0
474769,17,34.0
138005,15,31.0
216945,21,42.0
164526,2,4.0
50184,14,28.0
316470,2,5.0
343338,6,13.0
137434,30,60.0
95534,49,135.0
30473,0,0.0
24470,8,17.0
311991,23,47.0
225707,6,12.0
242830,23,47.0
336744,16,32.0
83542,43,87.0
91626,49,146.0
303457,1,2.0
176717,0,1.0
39226,3,6.0
216030,7,15.0
268169,49,119.0
98357,38,77.0
150365,6,12.0
243251,4,9.0
20186,25,50.0
109818,4,8.0
243785,24,48.0
207525,26,53.0
226246,3,7.0
353044,2,5.0
263781,2,4.0
66932,9,19.0
48131,3,7.0
32363,4,9.0
293225,27,55.0
235173,3,7.0
226001,3,6.0
220186,8,17.0
217201,13,26.0
194665,14,29.0
269909,45,91.0
259693,45,91.0
161370,25,51.0
152261,0,0.0
152259,0,1.0
303460,2,4.0
270259,2,4.0
345123,25,51.0
125195,10,21.0
141939,6,13.0
171442,49,149.0
212188,9,19.0
262208,3,7.0
207857,2,4.0
221049,18,36.0
221116,7,14.0
130819,3,6.0
20223,2,5.0
190108,27,55.0
158372,7,14.0
219681,24,49.0
261215,4,8.0
179640,2,4.0
250883,1,2.0
140855,26,52.0
120297,10,21.0
130492,9,18.0
164634,2,4.0
293836,5,10.0
169586,15,30.0
261296,15,31.0
101115,49,125.0
271594,19,39.0
164291,28,56.0
251528,44,89.0
250833,25,51.0
343448,0,0.0
39893,2,4.0
147477,9,19.0
223349,26,52.0
86768,26,53.0
197001,4,8.0
60938,18,37.0
228491,8,16.0
451515,5,10.0
353171,48,96.0
354039,3,7.0
302399,3,6.0
195736,2,5.0
365946,11,22.0
221544,3,6.0
175306,0,0.0
211833,30,60.0
276567,1,2.0
232044,2,4.0
244840,34,68.0
342620,33,67.0
165270,49,102.0
9999,12,25.0
423875,1,2.0
275675,31,62.0
356803,40,81.0
296983,4,8.0
111462,13,27.0
242831,22,44.0
151143,28,56.0
185799,10,21.0
166089,22,45.0
310082,5,11.0
70005,0,0.0
129581,5,11.0
116741,1,2.0
143750,6,12.0
257409,15,30.0
154426,41,83.0
255916,22,45.0
325714,11,22.0
163238,28,56.0
274988,11,22.0
347252,8,17.0
47037,49,108.0
130815,5,10.0
251021,0,0.0
25538,0,1.0
276594,40,81.0
54837,49,222.0
32378,10,21.0
259784,6,12.0
16391,1,3.0
196264,2,5.0
251032,0,1.0
429524,0,0.0
146,7,14.0
315537,14,29.0
487173,13,27.0
341118,3,7.0
77206,9,18.0
157487,3,7.0
289671,5,10.0
356884,3,6.0
168590,31,62.0
44050,15,31.0
166328,15,30.0
242,4,9.0
124853,0,0.0
160077,7,15.0
161843,3,7.0
447429,44,88.0
202009,10,21.0
372665,1,3.0
55681,6,13.0
230240,1,2.0
137701,43,86.0
467795,5,11.0
289133,21,43.0
28951,1,2.0
513531,6,13.0
511799,0,0.0
292568,0,1.0
435497,7,15.0
392158,20,40.0
167554,11,23.0
505132,2,4.0
399278,1,2.0
535020,21,43.0
165110,7,14.0
27200,49,148.0
262576,0,1.0
357497,2,4.0
201697,19,39.0
363009,0,1.0
113150,47,94.0
81635,10,20.0
279052,13,26.0
240622,22,44.0
142984,13,27.0
299989,41,83.0
165385,2,5.0
285606,0,0.0
204270,4,9.0
117116,3,7.0
138275,1,3.0
168644,1,3.0
20085,3,7.0
243157,25,50.0
160170,49,107.0
441744,2,5.0
271113,8,17.0
16327,7,15.0
182122,7,14.0
369169,7,14.0
331715,6,12.0
249050,1,2.0
151746,4,8.0
297594,5,10.0
63346,6,12.0
519068,49,169.0
263831,3,7.0
419921,2,5.0
368320,18,36.0
392150,0,1.0
342619,2,4.0
408907,25,50.0
371961,2,4.0
188151,2,4.0
383120,1,2.0
248125,35,71.0
128715,8,16.0
495344,13,26.0
300339,11,22.0
460846,4,8.0
367987,0,0.0
280918,6,13.0
243409,29,59.0
243249,0,0.0
173113,5,11.0
463219,22,44.0
360086,49,263.0
457965,6,12.0
72449,45,90.0
193430,33,66.0
39172,2,5.0
303070,31,62.0
216068,9,19.0
384510,6,12.0
367865,9,19.0
391390,26,52.0
141937,4,8.0
53197,28,57.0
400273,17,35.0
535431,38,76.0
480776,4,9.0
305431,32,65.0
443640,4,8.0
406331,6,13.0
441118,11,22.0
142369,0,1.0
145858,9,19.0
173730,5,10.0
170199,0,1.0
239866,21,43.0
46189,28,56.0
314384,7,14.0
136231,0,0.0
174536,0,0.0
341816,18,36.0
59515,4,9.0
320708,3,7.0
211091,2,4.0
286851,27,55.0
248212,1,2.0
280644,0,0.0
176883,49,102.0
298908,3,6.0
102035,18,36.0
