recipe_id,nutrition_id,value
137739,0,0.0
31490,17,35.0
112140,13,27.0
59389,4,8.0
44061,0,0.0
5289,10,20.0
25274,12,24.0
67888,43,86.0
70971,215,431.0
75452,155,310.0
109439,3,6.0
42198,58,117.0
67547,14,29.0
107517,0,0.0
39959,0,0.0
63986,2,4.0
43026,10,21.0
23933,19,38.0
8559,16,33.0
23850,0,1.0
76808,11,23.0
24701,1,2.0
83873,5,10.0
107699,79,158.0
49262,208,417.0
48156,2,4.0
54272,0,1.0
47366,15,30.0
37073,2,5.0
44123,107,214.0
27087,13,26.0
59952,25,51.0
93249,80,160.0
54100,7,15.0
67664,3,6.0
87098,1,2.0
25775,13,26.0
33165,1,3.0
38798,1,3.0
22123,26,53.0
90921,10,21.0
93959,3,6.0
93958,2,4.0
58224,15,30.0
33606,5,11.0
94710,5,11.0
35173,90,180.0
83025,307,615.0
52804,19,39.0
108414,27,54.0
26995,15,31.0
53402,32,64.0
59632,76,153.0
22526,11,22.0
100870,41,83.0
84797,96,193.0
35653,10,21.0
32169,6,13.0
24478,0,0.0
44045,5,10.0
60219,8,17.0
81185,1,3.0
30131,6,13.0
63593,1,3.0
43164,35,70.0
30300,0,0.0
78655,5,11.0
74805,45,91.0
71635,33,67.0
38276,30,61.0
97052,56,113.0
26835,31,63.0
32271,105,211.0
107229,9,18.0
5060,16,33.0
42570,8,16.0
52443,11,23.0
35595,0,0.0
108804,3,7.0
83950,59,119.0
19208,0,0.0
64302,9,18.0
35964,4,8.0
71457,8,16.0
95926,1,2.0
103948,18,36.0
99024,13,26.0
64045,19,39.0
41756,3,7.0
112959,0,0.0
83062,82,165.0
98930,3,6.0
83133,1,3.0
39947,0,0.0
44895,221,443.0
39363,9,18.0
62368,609,1218.0
111875,12,24.0
42522,26,53.0
34930,33,67.0
63793,1,3.0
61973,2,4.0
45859,0,0.0
58651,13,26.0
59534,52,104.0
24137,6,12.0
40237,27,54.0
18537,18,37.0
104243,59,118.0
105069,18,37.0
70099,1,3.0
333281,9,19.0
234069,0,0.0
37841,10,21.0
144952,44,88.0
453467,25,51.0
31835,13,27.0
197013,7,14.0
306168,18,36.0
286009,61,123.0
24514,21,43.0
42508,43,86.0
116679,25,50.0
124286,184,369.0
190,12,25.0
475785,24,48.0
17265,19,38.0
50662,217,435.0
177187,9,18.0
118843,328,656.0
208179,38,76.0
500166,19,39.0
501028,10,21.0
136602,21,42.0
69190,17,35.0
503475,27,54.0
522861,71,143.0
457136,52,104.0
455351,31,63.0
333797,6,12.0
428056,0,0.0
306245,4,9.0
523359,14,28.0
495314,0,0.0
149593,18,36.0
227924,28,57.0
100540,8,16.0
155959,28,57.0
29214,3,6.0
92533,45,90.0
209203,84,168.0
42151,80,161.0
327356,0,0.0
325509,1,3.0
236184,31,63.0
241445,40,81.0
149887,23,46.0
112984,0,1.0
200148,5,11.0
445026,15,31.0
70611,17,35.0
273326,87,175.0
310570,22,44.0
318677,3,6.0
80050,5,10.0
269984,11,23.0
317508,20,40.0
53872,15,30.0
268942,15,30.0
176110,9,19.0
205331,7,14.0
165856,9,18.0
474769,20,40.0
138005,6,13.0
216945,11,23.0
164526,0,0.0
50184,18,36.0
316470,0,1.0
343338,0,1.0
137434,1,3.0
95534,38,77.0
30473,0,0.0
24470,14,28.0
311991,11,23.0
225707,12,24.0
242830,13,27.0
336744,18,36.0
83542,58,116.0
91626,22,45.0
303457,5,10.0
176717,21,43.0
39226,0,0.0
216030,42,85.0
268169,20,41.0
98357,64,129.0
150365,4,9.0
243251,4,8.0
20186,13,26.0
109818,8,17.0
243785,17,35.0
207525,32,65.0
226246,20,41.0
353044,29,58.0
263781,13,26.0
66932,5,10.0
48131,0,0.0
32363,6,13.0
293225,103,206.0
235173,1,2.0
226001,20,40.0
220186,6,13.0
217201,18,37.0
194665,16,32.0
269909,61,122.0
259693,13,27.0
161370,4,8.0
152261,0,0.0
152259,0,0.0
303460,4,9.0
270259,14,28.0
345123,9,19.0
125195,12,24.0
141939,11,22.0
171442,99,198.0
212188,3,6.0
262208,14,28.0
207857,0,0.0
221049,4,8.0
221116,93,186.0
130819,14,29.0
20223,1,2.0
190108,6,12.0
158372,7,14.0
219681,15,31.0
261215,15,30.0
179640,8,16.0
250883,10,20.0
140855,27,54.0
120297,3,6.0
130492,8,17.0
164634,0,1.0
293836,0,1.0
169586,5,11.0
261296,0,0.0
101115,43,86.0
271594,1,3.0
164291,8,16.0
251528,34,69.0
250833,14,29.0
343448,0,0.0
39893,22,44.0
147477,12,25.0
223349,4,8.0
86768,500,1001.0
197001,24,48.0
60938,34,68.0
228491,10,21.0
451515,7,14.0
353171,78,156.0
354039,2,5.0
302399,4,9.0
195736,4,9.0
365946,69,138.0
221544,4,9.0
175306,0,0.0
211833,13,26.0
276567,1,2.0
232044,0,0.0
244840,8,17.0
342620,25,51.0
165270,45,90.0
9999,2,4.0
423875,0,0.0
275675,34,69.0
356803,26,52.0
296983,2,4.0
111462,2,4.0
242831,17,34.0
151143,11,23.0
185799,75,150.0
166089,14,28.0
310082,16,32.0
70005,0,0.0
129581,53,107.0
116741,0,0.0
143750,16,32.0
257409,9,19.0
154426,203,406.0
255916,4,9.0
325714,72,145.0
163238,50,100.0
274988,0,0.0
347252,10,20.0
47037,30,60.0
130815,17,34.0
251021,0,0.0
25538,0,0.0
276594,19,39.0
54837,63,127.0
32378,3,7.0
259784,22,44.0
16391,0,1.0
196264,1,2.0
251032,3,7.0
429524,0,0.0
146,37,75.0
315537,48,96.0
487173,21,42.0
341118,14,28.0
77206,42,84.0
157487,14,29.0
289671,17,35.0
356884,11,23.0
168590,105,211.0
44050,191,382.0
166328,594,1188.0
242,8,16.0
124853,0,0.0
160077,39,78.0
161843,17,34.0
447429,81,163.0
202009,107,214.0
372665,1,3.0
55681,0,0.0
230240,0,0.0
137701,59,118.0
467795,0,0.0
289133,24,49.0
28951,0,0.0
513531,3,7.0
511799,0,0.0
292568,6,12.0
435497,13,27.0
392158,6,12.0
167554,1,3.0
505132,11,23.0
399278,6,13.0
535020,43,87.0
165110,6,12.0
27200,44,89.0
262576,4,8.0
357497,4,9.0
201697,1,2.0
363009,5,11.0
113150,38,77.0
81635,1,2.0
279052,11,23.0
240622,24,48.0
142984,25,51.0
299989,42,84.0
165385,17,35.0
285606,0,0.0
204270,6,13.0
117116,9,18.0
138275,36,73.0
168644,5,11.0
20085,15,30.0
243157,20,41.0
160170,22,44.0
441744,12,25.0
271113,2,5.0
16327,3,6.0
182122,3,6.0
369169,10,21.0
331715,0,0.0
249050,1,2.0
151746,72,145.0
297594,2,5.0
63346,8,17.0
519068,6,12.0
263831,1,2.0
419921,3,7.0
368320,47,95.0
392150,0,0.0
342619,0,0.0
408907,51,102.0
371961,11,22.0
188151,3,7.0
383120,1,2.0
248125,45,91.0
128715,13,27.0
495344,2,5.0
300339,2,4.0
460846,4,8.0
367987,6,12.0
280918,21,42.0
243409,20,40.0
243249,3,7.0
173113,1,3.0
463219,39,78.0
360086,284,568.0
457965,3,6.0
72449,29,59.0
193430,34,69.0
39172,3,6.0
303070,6,12.0
216068,50,101.0
384510,4,8.0
367865,10,20.0
391390,5,10.0
141937,17,35.0
53197,2,5.0
400273,2,4.0
535431,78,157.0
480776,2,5.0
305431,40,81.0
443640,7,14.0
406331,6,12.0
441118,8,16.0
142369,7,15.0
145858,69,138.0
173730,0,0.0
170199,3,6.0
239866,60,120.0
46189,31,63.0
314384,41,82.0
136231,0,0.0
174536,6,13.0
341816,8,17.0
59515,1,3.0
320708,0,0.0
211091,3,7.0
286851,19,39.0
248212,0,0.0
280644,0,0.0
176883,75,151.0
298908,1,2.0
102035,28,57.0
430445,26,52.0
239871,60,121.0
328250,24,49.0
146686,15,30.0
138477,20,41.0
287778,18,36.0
204122,138,276.0
437637,26,53.0
123115,16,33.0
152844,62,125.0
132195,29,58.0
248962,13,27.0
384264,49,98.0
199545,22,44.0
422291,21,43.0
427531,4,8.0
389642,22,45.0
287235,11,22.0
110085,2,4.0
371549,11,23.0
444320,58,117.0
284465,54,109.0
376813,2,4.0
51506,0,1.0
134015,19,39.0
202195,32,65.0
407516,3,7.0
92113,11,22.0
354047,2,5.0
230565,90,181.0
134085,29,59.0
38811,15,30.0
185520,66,132.0
390230,3,6.0
401605,28,56.0
356849,191,382.0
393988,22,45.0
360444,44,88.0
192390,24,48.0
446452,9,18.0
454621,38,76.0
440388,29,58.0
246224,2,5.0
484992,19,39.0
276865,12,24.0
172744,77,154.0
147212,32,64.0
214193,18,37.0
361927,81,163.0
450466,9,19.0
439143,11,22.0
298874,16,32.0
140196,21,43.0
196006,21,42.0
409229,9,19.0
174469,1,3.0
296051,5,11.0
256763,74,149.0
306590,5,10.0
52289,0,0.0
433071,5,11.0
218648,2,5.0
146447,24,48.0
256734,12,24.0
212028,8,16.0
408303,1,3.0
25512,4,8.0
363904,6,12.0
481157,25,50.0
18719,12,25.0
335539,9,18.0
303944,23,47.0
443720,85,171.0
407098,36,73.0
285568,31,63.0
432027,64,129.0
207743,2,4.0
299968,0,0.0
464946,3,7.0
130642,4,9.0
395202,20,41.0
335495,0,0.0
192542,13,26.0
315110,38,77.0
368878,39,78.0
147563,46,93.0
207466,3,6.0
193719,15,31.0
251976,3,7.0
334501,17,34.0
123117,311,623.0
38852,19,39.0
181808,0,1.0
291073,13,27.0
186143,0,0.0
250232,1,2.0
411859,0,1.0
382731,21,43.0
134787,2,5.0
154576,2,5.0
222030,237,474.0
52565,19,38.0
103393,4,8.0
358626,17,35.0
53152,21,42.0
211322,2,4.0
251714,18,36.0
343821,27,54.0
168420,0,0.0
402351,27,55.0
319381,1,2.0
489707,2,5.0
389301,16,33.0
29916,14,28.0
36482,1,2.0
98844,21,43.0
65207,5,10.0
496766,17,34.0
140746,111,223.0
302344,116,232.0
56036,25,50.0
74284,3,7.0
361017,3,7.0
437219,19,38.0
467076,38,76.0
327141,13,27.0
342698,27,55.0
304814,16,32.0
387488,11,22.0
81280,15,31.0
261482,1,3.0
77380,218,436.0
240369,1,3.0
340730,0,1.0
334951,12,24.0
305987,18,36.0
337893,2,4.0
157160,15,31.0
35632,9,18.0
141712,10,20.0
21357,32,65.0
205443,3,6.0
201813,0,0.0
198343,4,8.0
279176,5,10.0
532472,24,49.0
32204,25,50.0
378540,0,0.0
293049,23,47.0
104773,2,4.0
129919,70,140.0
391335,9,19.0
383339,46,93.0
96727,83,166.0
474258,38,77.0
209322,2,5.0
60454,44,88.0
240447,0,0.0
375376,16,32.0
160398,46,92.0
350400,3,7.0
280251,0,0.0
242761,0,0.0
