id,lower_bound,upper_bound
0,0,10.0
1,10,20.0
2,20,30.0
3,30,40.0
4,40,50.0
5,50,60.0
6,60,70.0
7,70,80.0
8,80,90.0
9,90,100.0
10,100,110.0
11,110,120.0
12,120,130.0
13,130,140.0
14,140,150.0
15,150,160.0
16,160,170.0
17,170,180.0
18,180,190.0
19,190,200.0
20,200,210.0
21,210,220.0
22,220,230.0
23,230,240.0
24,240,250.0
25,250,260.0
26,260,270.0
27,270,280.0
28,280,290.0
29,290,300.0
30,300,310.0
31,310,320.0
32,320,330.0
33,330,340.0
34,340,350.0
35,350,360.0
36,360,370.0
37,370,380.0
38,380,390.0
39,390,400.0
40,400,410.0
41,410,420.0
42,420,430.0
43,430,440.0
44,440,450.0
45,450,460.0
46,460,470.0
47,470,480.0
48,480,490.0
49,490,500.0
50,500,510.0
51,510,520.0
52,520,530.0
53,530,540.0
54,540,550.0
55,550,560.0
56,560,570.0
57,570,580.0
58,580,590.0
59,590,600.0
60,600,610.0
61,610,620.0
62,620,630.0
63,630,640.0
64,640,650.0
65,650,660.0
66,660,670.0
67,670,680.0
68,680,690.0
69,690,700.0
70,700,710.0
71,710,720.0
72,720,730.0
73,730,740.0
74,740,750.0
75,750,760.0
76,760,770.0
77,770,780.0
78,780,790.0
79,790,800.0
80,800,810.0
81,810,820.0
82,820,830.0
83,830,840.0
84,840,850.0
85,850,860.0
86,860,870.0
87,870,880.0
88,880,890.0
89,890,900.0
90,900,910.0
91,910,920.0
92,920,930.0
93,930,940.0
94,940,950.0
95,950,960.0
96,960,970.0
97,970,980.0
98,980,990.0
99,990,1000.0
100,1000,1010.0
101,1010,1020.0
102,1020,1030.0
103,1030,1040.0
104,1040,1050.0
105,1050,1060.0
106,1060,1070.0
107,1070,1080.0
108,1080,1090.0
109,1090,1100.0
110,1100,1110.0
111,1110,1120.0
112,1120,1130.0
113,1130,1140.0
114,1140,1150.0
115,1150,1160.0
116,1160,1170.0
118,1180,1190.0
119,1190,1200.0
120,1200,1210.0
122,1220,1230.0
124,1240,1250.0
125,1250,1260.0
126,1260,1270.0
129,1290,1300.0
130,1300,1310.0
131,1310,1320.0
132,1320,1330.0
133,1330,1340.0
134,1340,1350.0
135,1350,1360.0
136,1360,1370.0
138,1380,1390.0
139,1390,1400.0
141,1410,1420.0
142,1420,1430.0
144,1440,1450.0
147,1470,1480.0
148,1480,1490.0
149,1490,1500.0
151,1510,1520.0
152,1520,1530.0
153,1530,1540.0
155,1550,1560.0
156,1560,1570.0
157,1570,1580.0
158,1580,1590.0
159,1590,1600.0
161,1610,1620.0
164,1640,1650.0
165,1650,1660.0
166,1660,1670.0
167,1670,1680.0
172,1720,1730.0
182,1820,1830.0
183,1830,1840.0
184,1840,1850.0
186,1860,1870.0
190,1900,1910.0
191,1910,1920.0
193,1930,1940.0
194,1940,1950.0
195,1950,1960.0
199,1990,
