id,lower_bound,upper_bound
0,0,2.0
1,2,4.0
2,4,6.0
3,6,8.0
4,8,10.0
5,10,12.0
6,12,14.0
7,14,16.0
8,16,18.0
9,18,20.0
10,20,22.0
11,22,24.0
12,24,26.0
13,26,28.0
14,28,30.0
15,30,32.0
16,32,34.0
17,34,36.0
18,36,38.0
19,38,40.0
20,40,42.0
21,42,44.0
22,44,46.0
23,46,48.0
24,48,50.0
25,50,52.0
26,52,54.0
27,54,56.0
28,56,58.0
29,58,60.0
30,60,62.0
31,62,64.0
32,64,66.0
33,66,68.0
34,68,70.0
35,70,72.0
36,72,74.0
37,74,76.0
38,76,78.0
39,78,80.0
40,80,82.0
41,82,84.0
42,84,86.0
43,86,88.0
44,88,90.0
45,90,92.0
46,92,94.0
47,94,96.0
48,96,98.0
49,98,
