recipe_id,nutrition_id,value
137739,51,2.0
31490,55,22.0
112140,57,39.0
59389,54,14.0
44061,51,3.0
5289,53,9.0
25274,52,6.0
67888,59,96.0
70971,59,127.0
75452,58,62.0
109439,50,0.0
42198,53,10.0
67547,54,14.0
107517,52,6.0
39959,50,1.0
63986,52,5.0
43026,54,11.0
23933,52,6.0
8559,57,51.0
23850,54,15.0
76808,52,5.0
24701,52,4.0
83873,58,64.0
107699,55,19.0
49262,55,22.0
48156,54,13.0
54272,56,32.0
47366,57,42.0
37073,52,4.0
44123,56,28.0
27087,52,4.0
59952,58,57.0
93249,58,80.0
54100,57,45.0
67664,52,4.0
87098,56,23.0
25775,55,19.0
33165,53,7.0
38798,51,3.0
22123,57,54.0
90921,56,36.0
93959,53,7.0
93958,53,8.0
58224,56,35.0
33606,56,23.0
94710,53,10.0
35173,59,98.0
83025,59,110.0
52804,54,15.0
108414,55,21.0
26995,55,18.0
53402,57,53.0
59632,58,59.0
22526,56,28.0
100870,59,104.0
84797,59,182.0
35653,53,7.0
32169,57,39.0
24478,50,0.0
44045,51,3.0
60219,56,26.0
81185,53,9.0
30131,50,1.0
63593,50,1.0
43164,58,90.0
30300,50,0.0
78655,51,2.0
74805,51,3.0
71635,54,12.0
38276,56,26.0
97052,55,17.0
26835,54,11.0
32271,57,42.0
107229,58,56.0
5060,52,6.0
42570,56,31.0
52443,55,21.0
35595,51,2.0
108804,57,40.0
83950,59,103.0
19208,50,1.0
64302,55,17.0
35964,54,11.0
71457,54,11.0
95926,53,10.0
103948,59,102.0
99024,55,21.0
64045,58,72.0
41756,53,10.0
112959,50,0.0
83062,58,79.0
98930,57,53.0
83133,51,3.0
39947,52,4.0
44895,59,140.0
39363,52,5.0
62368,60,228.0
111875,56,26.0
42522,54,13.0
34930,58,58.0
