recipe_id,nutrition_id,value
137739,33,13.0
31490,30,0.0
112140,35,32.0
59389,32,10.0
44061,39,337.0
5289,36,55.0
25274,32,7.0
67888,39,378.0
70971,39,1306.0
75452,39,976.0
109439,36,58.0
42198,38,199.0
67547,38,214.0
107517,38,202.0
39959,30,0.0
63986,30,0.0
43026,30,0.0
23933,37,77.0
8559,34,20.0
23850,35,24.0
76808,31,2.0
24701,33,13.0
83873,31,2.0
107699,38,168.0
49262,31,4.0
48156,31,4.0
54272,36,56.0
47366,34,18.0
37073,31,4.0
44123,35,26.0
27087,37,67.0
59952,35,34.0
93249,31,4.0
54100,32,10.0
67664,31,5.0
87098,36,55.0
25775,32,6.0
33165,34,20.0
38798,31,2.0
22123,36,57.0
90921,37,107.0
93959,36,61.0
93958,35,28.0
58224,31,4.0
33606,33,12.0
94710,30,1.0
35173,33,11.0
83025,39,1196.0
52804,38,170.0
108414,35,43.0
26995,38,297.0
53402,34,21.0
59632,32,9.0
22526,38,116.0
100870,38,195.0
84797,39,323.0
35653,33,15.0
32169,35,39.0
24478,30,0.0
44045,31,2.0
60219,33,11.0
81185,34,21.0
30131,32,6.0
63593,31,5.0
43164,32,10.0
30300,30,1.0
78655,32,6.0
74805,31,2.0
71635,37,98.0
38276,35,24.0
97052,35,29.0
26835,38,164.0
32271,39,410.0
107229,33,13.0
5060,35,29.0
42570,30,0.0
52443,32,9.0
35595,33,11.0
108804,32,8.0
83950,33,11.0
19208,37,91.0
64302,38,113.0
35964,39,362.0
71457,36,64.0
95926,37,66.0
103948,33,16.0
99024,30,0.0
64045,37,104.0
41756,35,45.0
112959,30,0.0
83062,39,984.0
98930,31,3.0
83133,38,119.0
39947,38,133.0
44895,40,1941.0
39363,37,65.0
62368,39,1772.0
111875,37,94.0
42522,30,0.0
34930,33,16.0
63793,33,15.0
61973,36,58.0
45859,36,61.0
58651,36,51.0
59534,35,41.0
24137,32,6.0
40237,39,802.0
18537,37,70.0
104243,34,17.0
105069,33,11.0
70099,34,21.0
333281,36,50.0
234069,37,89.0
37841,31,4.0
144952,37,70.0
453467,38,211.0
31835,33,11.0
197013,35,30.0
306168,32,6.0
286009,39,326.0
24514,34,20.0
42508,36,55.0
116679,33,11.0
124286,39,1306.0
190,36,55.0
475785,33,12.0
17265,37,109.0
50662,34,20.0
177187,36,47.0
118843,39,1630.0
208179,37,100.0
500166,31,4.0
501028,35,26.0
136602,37,100.0
69190,34,23.0
503475,36,62.0
522861,34,21.0
457136,34,19.0
455351,33,12.0
333797,30,0.0
428056,33,12.0
306245,31,2.0
523359,34,18.0
495314,38,209.0
149593,35,44.0
227924,38,158.0
100540,33,14.0
155959,34,18.0
29214,35,29.0
92533,31,5.0
