recipe_id,nutrition_id,value
137739,60,0.0
31490,65,35.0
112140,65,27.0
59389,62,8.0
44061,60,0.0
5289,64,20.0
25274,64,24.0
67888,68,86.0
70971,69,431.0
75452,69,310.0
109439,62,6.0
42198,68,117.0
67547,65,29.0
107517,60,0.0
39959,60,0.0
63986,61,4.0
43026,64,21.0
23933,66,38.0
8559,65,33.0
23850,61,1.0
76808,64,23.0
24701,61,2.0
83873,62,10.0
107699,69,158.0
49262,69,417.0
48156,61,4.0
54272,61,1.0
47366,65,30.0
37073,61,5.0
44123,69,214.0
27087,65,26.0
59952,67,51.0
93249,69,160.0
54100,63,15.0
67664,62,6.0
87098,61,2.0
25775,65,26.0
33165,61,3.0
38798,61,3.0
22123,67,53.0
90921,64,21.0
93959,62,6.0
93958,61,4.0
58224,65,30.0
33606,63,11.0
94710,63,11.0
35173,69,180.0
83025,69,615.0
52804,66,39.0
108414,67,54.0
26995,65,31.0
53402,67,64.0
59632,69,153.0
22526,64,22.0
100870,68,83.0
84797,69,193.0
35653,64,21.0
32169,63,13.0
24478,60,0.0
44045,62,10.0
60219,63,17.0
81185,61,3.0
30131,63,13.0
63593,61,3.0
43164,67,70.0
30300,60,0.0
78655,63,11.0
74805,68,91.0
71635,67,67.0
38276,67,61.0
97052,68,113.0
26835,67,63.0
32271,69,211.0
107229,63,18.0
5060,65,33.0
42570,63,16.0
52443,64,23.0
35595,60,0.0
108804,62,7.0
83950,68,119.0
19208,60,0.0
64302,63,18.0
35964,62,8.0
71457,63,16.0
95926,61,2.0
103948,66,36.0
99024,65,26.0
64045,66,39.0
41756,62,7.0
112959,60,0.0
83062,69,165.0
98930,62,6.0
83133,61,3.0
39947,60,0.0
44895,69,443.0
39363,63,18.0
62368,70,1218.0
111875,64,24.0
42522,67,53.0
34930,67,67.0
63793,61,3.0
61973,61,4.0
45859,60,0.0
58651,65,26.0
59534,68,104.0
24137,63,12.0
40237,67,54.0
18537,66,37.0
104243,68,118.0
105069,66,37.0
70099,61,3.0
333281,64,19.0
234069,60,0.0
37841,64,21.0
144952,68,88.0
453467,67,51.0
31835,65,27.0
197013,63,14.0
306168,66,36.0
286009,68,123.0
24514,66,43.0
42508,68,86.0
116679,67,50.0
124286,69,369.0
190,64,25.0
475785,67,48.0
17265,66,38.0
50662,69,435.0
177187,63,18.0
118843,69,656.0
208179,68,76.0
500166,66,39.0
501028,64,21.0
136602,66,42.0
69190,65,35.0
503475,67,54.0
522861,68,143.0
457136,68,104.0
455351,67,63.0
333797,63,12.0
428056,60,0.0
306245,62,9.0
523359,65,28.0
495314,60,0.0
149593,66,36.0
227924,67,57.0
100540,63,16.0
155959,67,57.0
29214,62,6.0
92533,68,90.0
209203,69,168.0
42151,69,161.0
327356,60,0.0
325509,61,3.0
236184,67,63.0
241445,68,81.0
149887,67,46.0
112984,61,1.0
200148,63,11.0
445026,65,31.0
70611,65,35.0
273326,69,175.0
310570,66,44.0
318677,62,6.0
80050,62,10.0
269984,64,23.0
317508,66,40.0
53872,65,30.0
268942,65,30.0
176110,64,19.0
205331,63,14.0
165856,63,18.0
474769,66,40.0
138005,63,13.0
216945,64,23.0
164526,60,0.0
50184,66,36.0
316470,61,1.0
343338,61,1.0
137434,61,3.0
95534,68,77.0
30473,60,0.0
24470,65,28.0
311991,64,23.0
225707,64,24.0
242830,65,27.0
336744,66,36.0
83542,68,116.0
91626,66,45.0
303457,62,10.0
176717,66,43.0
39226,60,0.0
216030,68,85.0
268169,66,41.0
98357,68,129.0
150365,62,9.0
243251,62,8.0
20186,65,26.0
109818,63,17.0
243785,65,35.0
