recipe_id,nutrition_id,value
137739,73,4.0
31490,71,1.0
112140,73,5.0
59389,77,20.0
44061,78,28.0
5289,74,7.0
25274,73,6.0
67888,79,36.0
70971,79,220.0
75452,79,138.0
109439,73,5.0
42198,78,28.0
67547,78,23.0
107517,78,21.0
39959,70,0.0
63986,72,3.0
43026,70,0.0
23933,75,8.0
8559,75,8.0
23850,75,10.0
76808,73,4.0
24701,72,3.0
83873,75,10.0
107699,78,29.0
49262,71,1.0
48156,75,10.0
54272,77,18.0
47366,75,10.0
37073,73,6.0
44123,75,10.0
27087,74,7.0
59952,75,9.0
93249,79,78.0
54100,71,2.0
67664,76,11.0
87098,77,20.0
25775,72,3.0
33165,75,10.0
38798,71,1.0
22123,77,16.0
90921,79,37.0
93959,75,9.0
93958,75,8.0
58224,70,0.0
33606,76,12.0
94710,76,12.0
35173,71,2.0
83025,79,188.0
52804,78,25.0
108414,76,14.0
26995,79,39.0
53402,72,3.0
59632,72,3.0
22526,79,34.0
100870,78,28.0
84797,78,30.0
35653,74,7.0
32169,73,6.0
24478,70,0.0
44045,71,1.0
60219,77,17.0
81185,73,5.0
30131,71,1.0
63593,70,0.0
43164,71,1.0
30300,70,0.0
78655,71,2.0
74805,70,0.0
71635,76,11.0
38276,77,18.0
97052,76,14.0
26835,77,20.0
32271,79,51.0
107229,78,24.0
5060,72,3.0
42570,70,0.0
52443,73,6.0
35595,71,2.0
108804,73,4.0
83950,79,38.0
19208,75,9.0
64302,78,24.0
35964,79,40.0
71457,76,13.0
95926,77,17.0
103948,76,12.0
99024,70,0.0
64045,77,19.0
41756,73,4.0
112959,70,0.0
83062,79,132.0
98930,70,0.0
83133,76,11.0
39947,76,11.0
44895,80,226.0
39363,75,9.0
62368,79,155.0
111875,76,12.0
42522,70,0.0
34930,71,2.0
63793,73,4.0
61973,75,8.0
45859,73,6.0
58651,73,6.0
59534,76,11.0
24137,77,16.0
40237,79,117.0
18537,75,10.0
104243,71,2.0
105069,72,3.0
70099,76,14.0
333281,73,6.0
234069,74,7.0
37841,71,1.0
144952,79,57.0
453467,78,26.0
31835,71,2.0
197013,73,4.0
306168,72,3.0
286009,79,39.0
24514,77,19.0
42508,74,7.0
116679,73,4.0
124286,79,205.0
190,76,12.0
475785,71,2.0
17265,76,13.0
50662,78,32.0
177187,73,6.0
118843,79,224.0
208179,75,10.0
500166,70,0.0
501028,73,4.0
136602,77,15.0
69190,77,16.0
503475,76,12.0
522861,79,37.0
457136,78,25.0
455351,79,33.0
333797,70,0.0
428056,71,2.0
306245,71,1.0
523359,73,4.0
495314,77,19.0
149593,74,7.0
227924,77,19.0
100540,75,8.0
155959,71,2.0
29214,73,4.0
92533,71,2.0
209203,78,21.0
42151,75,9.0
327356,70,0.0
325509,75,9.0
236184,78,26.0
241445,78,23.0
149887,77,17.0
112984,73,4.0
200148,74,7.0
445026,73,6.0
70611,70,0.0
273326,79,58.0
310570,76,14.0
318677,78,26.0
80050,78,29.0
269984,73,5.0
317508,73,4.0
53872,71,2.0
268942,76,14.0
176110,77,15.0
205331,74,7.0
165856,75,8.0
474769,75,10.0
138005,72,3.0
216945,77,18.0
164526,74,7.0
50184,75,8.0
316470,78,21.0
343338,76,11.0
137434,72,3.0
95534,71,1.0
30473,71,1.0
24470,70,0.0
311991,73,4.0
225707,77,15.0
242830,71,1.0
336744,73,5.0
83542,79,109.0
91626,75,8.0
303457,71,1.0
176717,77,19.0
39226,73,5.0
216030,78,28.0
268169,70,0.0
98357,78,27.0
150365,73,4.0
243251,73,4.0
20186,75,10.0
109818,73,5.0
243785,72,3.0
207525,71,1.0
226246,77,17.0
353044,74,7.0
263781,73,4.0
66932,77,18.0
48131,71,1.0
32363,74,7.0
293225,78,31.0
235173,75,10.0
226001,73,6.0
220186,77,15.0
217201,79,50.0
194665,74,7.0
269909,79,164.0
259693,77,20.0
161370,71,2.0
152261,78,24.0
152259,73,6.0
303460,72,3.0
270259,75,8.0
345123,76,13.0
125195,73,4.0
141939,74,7.0
171442,75,9.0
212188,75,9.0
262208,74,7.0
207857,74,7.0
221049,76,14.0
221116,74,7.0
130819,77,15.0
20223,70,0.0
190108,75,10.0
158372,70,0.0
219681,75,8.0
261215,77,15.0
179640,77,17.0
250883,71,1.0
140855,72,3.0
120297,77,18.0
130492,78,24.0
164634,74,7.0
293836,77,15.0
169586,73,5.0
261296,75,8.0
101115,78,31.0
271594,77,16.0
164291,71,1.0
251528,75,8.0
250833,75,9.0
343448,70,0.0
