recipe_id,nutrition_id,value
137739,20,0.0
31490,24,18.0
112140,25,22.0
59389,24,17.0
44061,21,1.0
5289,22,10.0
25274,28,53.0
67888,28,83.0
70971,29,254.0
75452,29,160.0
109439,21,3.0
42198,28,66.0
67547,26,28.0
107517,20,0.0
39959,20,0.0
63986,22,8.0
43026,22,10.0
23933,25,21.0
8559,26,31.0
23850,21,4.0
76808,22,11.0
24701,21,3.0
83873,22,11.0
107699,29,221.0
49262,29,213.0
48156,22,11.0
54272,21,3.0
47366,25,24.0
37073,22,8.0
44123,29,108.0
27087,23,13.0
59952,27,40.0
93249,28,91.0
54100,22,10.0
67664,21,3.0
87098,21,3.0
25775,24,16.0
33165,21,2.0
38798,21,5.0
22123,28,57.0
90921,27,46.0
93959,22,8.0
93958,22,9.0
58224,25,22.0
33606,23,14.0
94710,23,12.0
35173,29,100.0
83025,29,516.0
52804,27,49.0
108414,26,32.0
26995,27,38.0
53402,27,38.0
59632,29,109.0
22526,24,18.0
100870,28,75.0
84797,29,154.0
35653,22,11.0
32169,24,18.0
24478,20,0.0
44045,22,7.0
60219,22,10.0
81185,22,7.0
30131,26,31.0
63593,21,1.0
43164,27,50.0
30300,20,0.0
78655,25,26.0
74805,27,45.0
71635,27,39.0
38276,26,36.0
97052,28,58.0
26835,26,32.0
32271,29,129.0
107229,26,34.0
5060,25,22.0
42570,25,24.0
52443,23,12.0
35595,20,0.0
108804,23,14.0
83950,29,97.0
19208,20,0.0
64302,27,43.0
35964,23,13.0
71457,23,13.0
95926,21,3.0
103948,28,53.0
99024,23,14.0
64045,28,55.0
41756,21,6.0
112959,21,1.0
83062,29,235.0
98930,23,12.0
83133,22,7.0
39947,20,0.0
44895,29,470.0
39363,22,9.0
62368,30,653.0
111875,26,29.0
42522,25,26.0
34930,27,50.0
63793,21,1.0
61973,22,8.0
45859,20,0.0
58651,24,16.0
59534,28,61.0
24137,25,24.0
40237,29,130.0
18537,26,30.0
104243,28,66.0
105069,24,19.0
70099,22,7.0
333281,22,10.0
234069,20,0.0
37841,27,41.0
144952,28,63.0
453467,27,46.0
31835,24,17.0
197013,23,14.0
306168,25,20.0
286009,28,63.0
24514,25,25.0
42508,28,93.0
116679,25,25.0
124286,29,245.0
190,25,25.0
475785,26,30.0
17265,26,27.0
50662,29,325.0
177187,23,12.0
118843,29,427.0
208179,27,37.0
500166,25,26.0
501028,24,19.0
136602,26,32.0
69190,25,21.0
503475,26,30.0
522861,28,72.0
457136,27,52.0
455351,26,33.0
333797,22,11.0
428056,20,0.0
306245,21,5.0
523359,25,23.0
495314,20,0.0
149593,24,18.0
227924,27,37.0
100540,22,9.0
155959,28,61.0
29214,22,7.0
92533,28,57.0
209203,29,126.0
42151,28,76.0
327356,20,0.0
325509,22,8.0
236184,27,45.0
241445,27,40.0
149887,25,23.0
112984,21,2.0
200148,25,24.0
445026,27,42.0
70611,26,27.0
273326,29,98.0
310570,26,29.0
318677,23,13.0
80050,23,12.0
269984,26,34.0
317508,25,22.0
53872,25,25.0
268942,25,20.0
176110,27,46.0
205331,26,30.0
165856,28,67.0
474769,25,23.0
138005,23,15.0
216945,24,17.0
164526,20,0.0
50184,28,59.0
316470,21,1.0
343338,21,3.0
137434,21,4.0
95534,28,60.0
30473,20,0.0
24470,24,19.0
311991,24,17.0
225707,28,96.0
242830,26,27.0
336744,26,29.0
83542,29,199.0
91626,27,49.0
303457,23,15.0
176717,23,15.0
39226,21,1.0
216030,27,47.0
268169,27,40.0
98357,29,98.0
150365,23,15.0
243251,23,15.0
20186,24,17.0
109818,24,16.0
243785,26,28.0
207525,27,41.0
226246,25,20.0
353044,25,20.0
263781,25,24.0
66932,24,19.0
48131,20,0.0
32363,23,14.0
293225,29,137.0
235173,21,5.0
226001,24,17.0
220186,25,20.0
217201,24,19.0
194665,25,22.0
269909,29,252.0
259693,26,30.0
161370,23,15.0
152261,20,0.0
152259,20,0.0
303460,24,16.0
270259,23,14.0
345123,27,39.0
125195,23,13.0
141939,24,17.0
171442,29,165.0
212188,22,8.0
262208,26,27.0
207857,20,0.0
221049,22,9.0
221116,28,78.0
130819,24,19.0
20223,21,2.0
190108,24,19.0
158372,23,12.0
219681,28,53.0
261215,26,29.0
179640,22,8.0
250883,22,11.0
140855,28,57.0
120297,22,11.0
130492,26,33.0
164634,21,3.0
293836,21,3.0
169586,24,18.0
261296,21,1.0
101115,28,68.0
271594,21,3.0
164291,25,20.0
251528,27,48.0
250833,26,32.0
343448,20,0.0
