recipe_id,nutrition_id,value
137739,40,0.0
31490,45,17.0
112140,48,48.0
59389,41,2.0
44061,46,23.0
5289,42,3.0
25274,46,24.0
67888,49,275.0
70971,49,111.0
75452,49,107.0
109439,40,0.0
42198,43,10.0
67547,49,69.0
107517,43,9.0
39959,40,0.0
63986,46,26.0
43026,44,11.0
23933,42,4.0
8559,47,29.0
23850,41,1.0
76808,44,14.0
24701,48,54.0
83873,46,24.0
107699,49,66.0
49262,48,53.0
48156,41,1.0
54272,49,76.0
47366,48,42.0
37073,42,3.0
44123,45,19.0
27087,42,5.0
59952,49,67.0
93249,49,128.0
54100,43,10.0
67664,41,1.0
87098,45,18.0
25775,47,32.0
33165,44,13.0
38798,42,3.0
22123,48,58.0
90921,48,56.0
93959,43,9.0
93958,43,10.0
58224,43,7.0
33606,46,22.0
94710,46,23.0
35173,49,97.0
83025,49,135.0
52804,46,25.0
108414,47,31.0
26995,45,20.0
53402,48,57.0
59632,47,30.0
22526,47,34.0
100870,49,106.0
84797,49,74.0
35653,43,8.0
32169,45,18.0
24478,40,0.0
44045,43,7.0
60219,47,39.0
81185,45,19.0
30131,43,10.0
63593,40,0.0
43164,46,21.0
30300,40,0.0
78655,45,17.0
74805,41,1.0
71635,44,12.0
38276,46,21.0
97052,41,2.0
26835,45,15.0
32271,46,26.0
107229,45,20.0
5060,42,3.0
42570,46,26.0
52443,45,15.0
35595,40,0.0
108804,47,29.0
83950,49,71.0
19208,40,0.0
64302,44,11.0
35964,45,15.0
71457,43,10.0
95926,43,10.0
103948,45,17.0
99024,43,8.0
64045,49,116.0
41756,42,5.0
112959,40,0.0
83062,49,107.0
98930,42,3.0
83133,47,36.0
39947,41,1.0
44895,49,87.0
39363,43,9.0
62368,49,149.0
111875,41,2.0
42522,43,7.0
34930,45,19.0
63793,40,0.0
61973,43,10.0
45859,40,0.0
58651,41,1.0
59534,47,35.0
24137,42,4.0
40237,49,101.0
18537,42,3.0
104243,48,41.0
105069,46,26.0
70099,47,32.0
333281,42,3.0
234069,40,0.0
37841,47,36.0
144952,49,96.0
453467,46,22.0
31835,45,20.0
197013,48,46.0
306168,47,32.0
286009,44,13.0
24514,48,46.0
42508,49,83.0
116679,45,19.0
124286,49,260.0
190,48,41.0
475785,44,12.0
17265,44,13.0
50662,49,90.0
177187,42,3.0
118843,49,159.0
208179,43,7.0
500166,42,6.0
501028,48,48.0
136602,45,20.0
69190,48,53.0
503475,44,14.0
522861,49,103.0
457136,46,24.0
455351,45,16.0
333797,47,34.0
428056,46,25.0
306245,42,6.0
523359,47,31.0
495314,48,52.0
149593,43,8.0
227924,44,13.0
100540,46,26.0
155959,49,67.0
29214,46,22.0
92533,44,11.0
209203,49,74.0
42151,49,147.0
327356,40,0.0
325509,40,0.0
236184,48,43.0
241445,49,65.0
149887,43,10.0
112984,43,10.0
200148,42,4.0
445026,47,32.0
70611,42,3.0
273326,46,22.0
310570,48,40.0
318677,49,72.0
80050,42,6.0
269984,47,39.0
317508,45,16.0
53872,46,21.0
268942,48,44.0
176110,47,32.0
205331,49,90.0
165856,46,22.0
474769,44,13.0
138005,42,6.0
216945,49,124.0
164526,40,0.0
50184,43,7.0
316470,40,0.0
343338,40,0.0
137434,43,8.0
95534,46,21.0
30473,40,0.0
24470,45,19.0
311991,46,23.0
225707,45,20.0
242830,42,6.0
336744,47,30.0
83542,49,133.0
91626,47,31.0
303457,40,0.0
176717,43,7.0
39226,49,89.0
216030,45,15.0
268169,43,8.0
98357,49,90.0
150365,42,5.0
243251,43,8.0
20186,49,73.0
109818,46,21.0
243785,46,27.0
207525,47,30.0
226246,45,15.0
353044,41,1.0
263781,45,19.0
66932,41,2.0
48131,41,2.0
32363,45,17.0
293225,45,19.0
235173,40,0.0
226001,43,8.0
220186,46,22.0
217201,44,11.0
194665,47,34.0
269909,49,140.0
259693,47,39.0
161370,42,6.0
152261,40,0.0
152259,40,0.0
303460,46,27.0
270259,42,4.0
345123,46,22.0
125195,44,11.0
141939,45,15.0
171442,48,56.0
212188,47,36.0
262208,42,6.0
207857,40,0.0
221049,45,18.0
221116,44,11.0
130819,43,7.0
20223,42,6.0
190108,47,39.0
158372,42,4.0
219681,46,27.0
261215,45,16.0
179640,43,10.0
250883,41,2.0
140855,45,18.0
120297,44,14.0
130492,47,35.0
164634,45,15.0
293836,40,0.0
169586,47,38.0
261296,47,30.0
101115,48,55.0
271594,47,36.0
164291,45,17.0
251528,48,60.0
250833,45,15.0
343448,47,38.0
39893,45,19.0
147477,43,7.0
223349,44,11.0
86768,49,71.0
197001,41,2.0
60938,46,23.0
228491,47,30.0
451515,40,0.0
353171,46,27.0
354039,43,7.0
302399,44,13.0
195736,42,3.0
365946,45,17.0
221544,46,25.0
175306,40,0.0
211833,46,21.0
276567,43,7.0
232044,42,4.0
244840,47,35.0
342620,44,13.0
165270,48,50.0
9999,46,25.0
423875,40,0.0
275675,49,144.0
356803,47,36.0
296983,40,0.0
111462,43,7.0
242831,48,43.0
151143,44,11.0
185799,44,14.0
166089,46,21.0
310082,46,27.0
70005,40,0.0
129581,46,23.0
116741,45,15.0
143750,45,16.0
257409,46,25.0
154426,49,119.0
255916,47,32.0
325714,47,31.0
163238,49,78.0
274988,47,33.0
347252,45,19.0
47037,47,28.0
130815,43,10.0
251021,40,0.0
25538,43,8.0
276594,49,63.0
54837,49,184.0
32378,42,6.0
259784,44,14.0
16391,40,0.0
196264,45,19.0
251032,41,2.0
429524,40,0.0
146,43,9.0
315537,48,51.0
487173,47,29.0
341118,42,3.0
77206,46,24.0
157487,49,86.0
289671,43,8.0
356884,42,5.0
168590,48,41.0
44050,48,45.0
166328,49,151.0
242,43,7.0
124853,40,0.0
160077,43,8.0
161843,43,8.0
447429,49,65.0
202009,46,21.0
372665,41,1.0
55681,49,157.0
230240,44,13.0
137701,49,95.0
467795,45,16.0
289133,42,4.0
28951,40,0.0
513531,46,25.0
511799,41,2.0
292568,41,2.0
435497,43,8.0
392158,47,32.0
167554,47,37.0
505132,42,4.0
399278,48,62.0
535020,49,106.0
165110,43,7.0
27200,49,72.0
262576,41,1.0
357497,42,6.0
201697,41,1.0
363009,42,3.0
113150,49,81.0
81635,43,10.0
279052,45,16.0
240622,49,146.0
142984,45,17.0
299989,48,42.0
165385,42,3.0
285606,41,1.0
